model,dataset,family,corruption,severity,conf_thresh,loc_stability_iou,loc_center_shift,loc_iou_clean,loc_iou_corrupt,loc_iou_drop,n_common
rtdetr,sard,storm,motion_blur,1,0.6,0.8767153877019882,0.021759156581384186,0.8508903987267438,0.8159427145649405,0.03494768416180327,850
rtdetr,sard,storm,motion_blur,2,0.6,0.8105046615171968,0.037709397066747315,0.8607172482692347,0.7813085183668672,0.07940872990236747,534
rtdetr,sard,storm,motion_blur,3,0.6,0.7675577026274469,0.045706843862879196,0.8671498936083581,0.7473395889004072,0.11981030470795095,360
rtdetr,sard,storm,low_light,1,0.6,0.8584266636573094,0.03151555471392808,0.8646665423269003,0.8038058539091701,0.06086068841773018,284
rtdetr,sard,storm,low_light,2,0.6,0.790381418807166,0.032962153665721416,0.8512380123138428,0.7389696666172573,0.1122683456965855,14
rtdetr,sard,storm,low_light,3,0.6,nan,nan,nan,nan,nan,0
rtdetr,sard,earthquake,dust_haze,1,0.6,0.9098320657631447,0.020445524627274576,0.8506491804122924,0.8218184910971543,0.028830689315138103,725
rtdetr,sard,earthquake,dust_haze,2,0.6,0.888722833536439,0.02567496475708371,0.8588726383144573,0.815032354047743,0.04384028426671427,295
rtdetr,sard,earthquake,dust_haze,3,0.6,0.8445100155743686,0.03293514532375742,0.8522415724667636,0.7895546501333063,0.0626869223334573,55
yolo11,sard,flood,water_glare,1,0.3,0.9730039699944352,0.006677787308445622,0.8329179924942537,0.8252592256455533,0.007658766848700371,938
yolo11,sard,flood,water_glare,2,0.3,0.9415813090787692,0.01622147293124747,0.8324581230905923,0.8116652483967217,0.02079287469387059,880
yolo11,sard,flood,water_glare,3,0.3,0.9060864715909762,0.025742562290966175,0.8405691389357275,0.796097578008152,0.04447156092757554,729
yolo11,sard,flood,turbidity_cast,1,0.3,0.9174005468686421,0.019248104901467826,0.8388166267296363,0.8227108736832937,0.016105753046342652,870
yolo11,sard,flood,turbidity_cast,2,0.3,0.8739898839763774,0.03005895277175305,0.8485457558350958,0.8059891302874134,0.04255662554768247,628
yolo11,sard,flood,turbidity_cast,3,0.3,0.8556275909855252,0.029552594371627838,0.8649538352375938,0.8029555644307818,0.061998270806812084,210
yolo11,sard,flood,inundation,1,0.3,0.9595102520385531,0.010058499054675199,0.8319804972804177,0.8210617694010867,0.010918727879331014,938
yolo11,sard,flood,inundation,2,0.3,0.9301317068816993,0.01699080949633686,0.8344374491369783,0.811192234455071,0.02324521468190721,812
yolo11,sard,flood,inundation,3,0.3,0.8841687722399666,0.031056992280838462,0.8390351808818944,0.7844491112716083,0.054586069610286114,542
yolo11,sard,wildfire,smoke_haze,1,0.3,0.9171110273887557,0.018288094512365377,0.8387746594963977,0.8205039661974723,0.01827069329892539,886
yolo11,sard,wildfire,smoke_haze,2,0.3,0.8838945022209095,0.027011942017775428,0.8452129762192242,0.8097667275556449,0.03544624866357926,732
yolo11,sard,wildfire,smoke_haze,3,0.3,0.8519860862010535,0.03404287215193027,0.8529979791797575,0.7938720169335395,0.05912596224621802,427
yolo11,sard,wildfire,fire_warm_tint,1,0.3,0.8958045203342895,0.02381012947937243,0.8448212383272803,0.815662613245206,0.02915862508207434,751
yolo11,sard,wildfire,fire_warm_tint,2,0.3,0.870249277722519,0.028244618365574067,0.8607807521623144,0.8097091464869743,0.05107160567534008,339
yolo11,sard,wildfire,fire_warm_tint,3,0.3,0.8597555220673937,0.02910313449817103,0.8678456954999801,0.8120781735542717,0.05576752194570844,109
yolo11,sard,storm,rain_streaks,1,0.3,0.9844982234425232,0.003425627728621502,0.8289709930903599,0.8290709157581212,-9.992266776126524e-05,976
yolo11,sard,storm,rain_streaks,2,0.3,0.9534325192908983,0.010157260694722559,0.8306575240935209,0.8296348792103868,0.0010226448831340829,962
yolo11,sard,storm,rain_streaks,3,0.3,0.9092466243528651,0.02008959320523438,0.8357388542615054,0.822308658523642,0.013430195737863415,926
yolo11,sard,storm,motion_blur,1,0.3,0.8778854110105722,0.02527032568101546,0.8383942737623498,0.8108233069932019,0.02757096676914783,864
yolo11,sard,storm,motion_blur,2,0.3,0.8185343041926801,0.03780319672267853,0.8495048291668921,0.7789261333064404,0.07057869586045162,668
yolo11,sard,storm,motion_blur,3,0.3,0.778907400301264,0.0449053618051272,0.8588546562377171,0.7504207212655996,0.10843393497211751,523
yolo11,sard,storm,low_light,1,0.3,0.8329724406841958,0.03278031439686397,0.8473063067044362,0.7768316324984673,0.07047467420596887,202
yolo11,sard,storm,low_light,2,0.3,0.8038765043020248,0.03874681447632611,0.8354535326361656,0.7391253337264061,0.09632819890975952,8
yolo11,sard,storm,low_light,3,0.3,nan,nan,nan,nan,nan,0
yolo11,sard,earthquake,dust_haze,1,0.3,0.8864263150769943,0.027648541093599342,0.8444106766411005,0.8081993482580627,0.036211328383037755,734
yolo11,sard,earthquake,dust_haze,2,0.3,0.8637094259461432,0.02912675842419298,0.8565837878447312,0.7976018772476094,0.05898191059712177,299
yolo11,sard,earthquake,dust_haze,3,0.3,0.8224092926830053,0.03886255332326982,0.8555291425436735,0.7738341437652707,0.0816949987784028,64
