seed,model,dataset,corruption,severity,conf_thresh,recall,recall_ci_lo,recall_ci_hi,precision,f1
17,yolo11,sard,motion_blur,3,0.3,0.4777,0.4427,0.5151,0.9225,0.6294
17,yolo11,sard,low_light,1,0.3,0.1841,0.154,0.2134,0.8783,0.3044
17,yolo11,sard,low_light,2,0.3,0.0073,0.0028,0.0127,0.6667,0.0144
17,yolo11,sard,low_light,3,0.3,0.0,0.0,0.0,0.0,0.0
17,yolo11,sard,dust_haze,1,0.3,0.6737,0.6434,0.7031,0.9438,0.7862
17,yolo11,sard,dust_haze,2,0.3,0.2726,0.2445,0.3034,0.9061,0.4191
17,yolo11,sard,dust_haze,3,0.3,0.0583,0.0441,0.0723,0.8767,0.1094
42,yolo11,sard,clean,0,0.35,0.8742,0.8518,0.8944,0.9542,0.9125
42,yolo11,sard,water_glare,1,0.35,0.8414,0.8205,0.8649,0.8866,0.8634
42,yolo11,sard,water_glare,2,0.35,0.7876,0.7626,0.8118,0.8657,0.8248
42,yolo11,sard,water_glare,3,0.35,0.6572,0.6288,0.6859,0.7753,0.7114
42,yolo11,sard,turbidity_cast,1,0.35,0.7821,0.7545,0.8091,0.9576,0.861
42,yolo11,sard,turbidity_cast,2,0.35,0.5934,0.5634,0.6226,0.9688,0.736
42,yolo11,sard,turbidity_cast,3,0.35,0.1996,0.176,0.2248,0.9648,0.3308
42,yolo11,sard,inundation,1,0.35,0.8314,0.8066,0.8544,0.956,0.8893
42,yolo11,sard,inundation,2,0.35,0.7302,0.7046,0.7576,0.9446,0.8237
42,yolo11,sard,inundation,3,0.35,0.4995,0.467,0.5308,0.9013,0.6428
42,yolo11,sard,smoke_haze,1,0.35,0.8095,0.7834,0.8343,0.96,0.8783
42,yolo11,sard,smoke_haze,2,0.35,0.6773,0.6488,0.7074,0.9599,0.7942
42,yolo11,sard,smoke_haze,3,0.35,0.4421,0.412,0.4726,0.9491,0.6032
42,yolo11,sard,fire_warm_tint,1,0.35,0.68,0.6528,0.7077,0.9552,0.7945
42,yolo11,sard,fire_warm_tint,2,0.35,0.3282,0.2983,0.3591,0.9651,0.4898
42,yolo11,sard,fire_warm_tint,3,0.35,0.1386,0.1165,0.1591,0.9441,0.2417
42,yolo11,sard,rain_streaks,1,0.35,0.876,0.8552,0.8947,0.9629,0.9174
42,yolo11,sard,rain_streaks,2,0.35,0.8715,0.8511,0.8916,0.9647,0.9157
42,yolo11,sard,rain_streaks,3,0.35,0.8396,0.8164,0.8634,0.9685,0.8994
42,yolo11,sard,motion_blur,1,0.35,0.7721,0.746,0.7985,0.9349,0.8457
42,yolo11,sard,motion_blur,2,0.35,0.5634,0.5288,0.5954,0.9035,0.694
42,yolo11,sard,motion_blur,3,0.35,0.4211,0.3906,0.4541,0.8717,0.5679
42,yolo11,sard,low_light,1,0.35,0.1996,0.1701,0.2285,0.8391,0.3225
42,yolo11,sard,low_light,2,0.35,0.0082,0.0028,0.0142,0.3333,0.016
42,yolo11,sard,low_light,3,0.35,0.0,0.0,0.0,0.0,0.0
42,yolo11,sard,dust_haze,1,0.35,0.6773,0.6473,0.709,0.9429,0.7883
42,yolo11,sard,dust_haze,2,0.35,0.2799,0.2528,0.3076,0.9275,0.43
42,yolo11,sard,dust_haze,3,0.35,0.052,0.0395,0.0653,0.9048,0.0983
123,yolo11,sard,clean,0,0.3,0.8851,0.8643,0.9024,0.9623,0.9221
123,yolo11,sard,water_glare,1,0.3,0.8514,0.8298,0.8736,0.9193,0.8841
123,yolo11,sard,water_glare,2,0.3,0.794,0.7679,0.8185,0.8961,0.842
123,yolo11,sard,water_glare,3,0.3,0.6563,0.6277,0.6873,0.8813,0.7524
123,yolo11,sard,turbidity_cast,1,0.3,0.784,0.7563,0.8099,0.9598,0.863
123,yolo11,sard,turbidity_cast,2,0.3,0.5451,0.5134,0.579,0.9724,0.6986
123,yolo11,sard,turbidity_cast,3,0.3,0.1732,0.151,0.1967,0.9896,0.2948
123,yolo11,sard,inundation,1,0.3,0.845,0.823,0.8661,0.9646,0.9009
123,yolo11,sard,inundation,2,0.3,0.7429,0.7164,0.7698,0.9368,0.8287
123,yolo11,sard,inundation,3,0.3,0.4995,0.4661,0.5333,0.8896,0.6398
123,yolo11,sard,smoke_haze,1,0.3,0.8104,0.7865,0.8339,0.9674,0.8819
123,yolo11,sard,smoke_haze,2,0.3,0.6618,0.6333,0.6919,0.9528,0.7811
123,yolo11,sard,smoke_haze,3,0.3,0.4294,0.3973,0.4625,0.9515,0.5917
123,yolo11,sard,fire_warm_tint,1,0.3,0.6846,0.6554,0.7131,0.9604,0.7994
123,yolo11,sard,fire_warm_tint,2,0.3,0.3236,0.2943,0.3566,0.9699,0.4853
123,yolo11,sard,fire_warm_tint,3,0.3,0.1149,0.0945,0.1335,0.9618,0.2052
123,yolo11,sard,rain_streaks,1,0.3,0.8833,0.8634,0.9042,0.9651,0.9224
123,yolo11,sard,rain_streaks,2,0.3,0.8824,0.8599,0.902,0.968,0.9232
123,yolo11,sard,rain_streaks,3,0.3,0.8469,0.8251,0.8679,0.9627,0.9011
123,yolo11,sard,motion_blur,1,0.3,0.7958,0.771,0.8221,0.9593,0.87
123,yolo11,sard,motion_blur,2,0.3,0.619,0.5879,0.6504,0.9444,0.7478
123,yolo11,sard,motion_blur,3,0.3,0.4667,0.4352,0.5005,0.9225,0.6199
123,yolo11,sard,low_light,1,0.3,0.2343,0.2066,0.2654,0.8211,0.3645
123,yolo11,sard,low_light,2,0.3,0.021,0.0123,0.0295,0.5897,0.0405
123,yolo11,sard,low_light,3,0.3,0.0,0.0,0.0,0.0,0.0
123,yolo11,sard,dust_haze,1,0.3,0.6582,0.6287,0.6876,0.9525,0.7784
123,yolo11,sard,dust_haze,2,0.3,0.2407,0.2127,0.2674,0.9362,0.3829
123,yolo11,sard,dust_haze,3,0.3,0.0419,0.0308,0.0538,0.9583,0.0803
