Model,Dataset,Corruption,Severity,Recall,CI_low,CI_high
yolo11,sard,turbidity_cast,3,0.1911,0.1673,0.214
yolo11,sard,inundation,1,0.8602,0.8377,0.8813
yolo11,sard,inundation,2,0.7436,0.7174,0.7703
yolo11,sard,inundation,3,0.4941,0.4637,0.5243
yolo11,sard,smoke_haze,1,0.8102,0.7871,0.833
yolo11,sard,smoke_haze,2,0.6675,0.6373,0.697
yolo11,sard,smoke_haze,3,0.3908,0.3584,0.4222
yolo11,sard,fire_warm_tint,1,0.6888,0.66,0.7165
yolo11,sard,fire_warm_tint,2,0.3109,0.2779,0.3414
yolo11,sard,fire_warm_tint,3,0.0994,0.081,0.1199
yolo11,sard,rain_streaks,1,0.8933,0.8746,0.9117
yolo11,sard,rain_streaks,2,0.8827,0.8632,0.9033
yolo11,sard,rain_streaks,3,0.8548,0.8327,0.8768
yolo11,sard,motion_blur,1,0.792,0.7653,0.8169
yolo11,sard,motion_blur,2,0.6132,0.5808,0.6456
yolo11,sard,motion_blur,3,0.4775,0.4428,0.5116
yolo11,sard,low_light,1,0.1842,0.1566,0.2118
yolo11,sard,low_light,2,0.0073,0.0028,0.0122
yolo11,sard,low_light,3,0.0,0.0,0.0
yolo11,sard,dust_haze,1,0.6734,0.6447,0.7031
yolo11,sard,dust_haze,2,0.2723,0.2419,0.301
yolo11,sard,dust_haze,3,0.0583,0.0438,0.0739
fasterrcnn_aug_lowlight,sard,clean,0,0.8994,0.8808,0.9176
fasterrcnn_aug_lowlight,sard,water_glare,1,0.862,0.8408,0.8811
fasterrcnn_aug_lowlight,sard,water_glare,2,0.7896,0.7635,0.8137
fasterrcnn_aug_lowlight,sard,water_glare,3,0.6499,0.6223,0.6796
fasterrcnn_aug_lowlight,sard,turbidity_cast,1,0.8424,0.8192,0.8631
fasterrcnn_aug_lowlight,sard,turbidity_cast,2,0.6376,0.6061,0.6664
fasterrcnn_aug_lowlight,sard,turbidity_cast,3,0.1952,0.1703,0.2203
fasterrcnn_aug_lowlight,sard,inundation,1,0.8726,0.8522,0.8914
fasterrcnn_aug_lowlight,sard,inundation,2,0.7859,0.7596,0.8114
fasterrcnn_aug_lowlight,sard,inundation,3,0.5003,0.4692,0.5313
fasterrcnn_aug_lowlight,sard,smoke_haze,1,0.8623,0.8402,0.8832
fasterrcnn_aug_lowlight,sard,smoke_haze,2,0.7378,0.7116,0.7673
fasterrcnn_aug_lowlight,sard,smoke_haze,3,0.3868,0.3553,0.4186
fasterrcnn_aug_lowlight,sard,fire_warm_tint,1,0.8262,0.8021,0.8493
fasterrcnn_aug_lowlight,sard,fire_warm_tint,2,0.6217,0.5907,0.6518
fasterrcnn_aug_lowlight,sard,fire_warm_tint,3,0.3819,0.3487,0.4149
fasterrcnn_aug_lowlight,sard,rain_streaks,1,0.8955,0.8764,0.915
fasterrcnn_aug_lowlight,sard,rain_streaks,2,0.8829,0.8625,0.9022
fasterrcnn_aug_lowlight,sard,rain_streaks,3,0.8256,0.8011,0.8505
fasterrcnn_aug_lowlight,sard,motion_blur,1,0.8103,0.7874,0.8347
fasterrcnn_aug_lowlight,sard,motion_blur,2,0.6184,0.5871,0.649
fasterrcnn_aug_lowlight,sard,motion_blur,3,0.4176,0.381,0.4514
fasterrcnn_aug_lowlight,sard,low_light,1,0.8435,0.8183,0.8655
fasterrcnn_aug_lowlight,sard,low_light,2,0.641,0.6123,0.6691
fasterrcnn_aug_lowlight,sard,low_light,3,0.1202,0.1007,0.1404
fasterrcnn_aug_lowlight,sard,dust_haze,1,0.7841,0.7585,0.8086
fasterrcnn_aug_lowlight,sard,dust_haze,2,0.5132,0.4797,0.5461
fasterrcnn_aug_lowlight,sard,dust_haze,3,0.1737,0.1486,0.2005
rtdetr_aug_lowlight,sard,clean,0,0.8573,0.8369,0.8783
rtdetr_aug_lowlight,sard,water_glare,1,0.8168,0.793,0.8405
rtdetr_aug_lowlight,sard,water_glare,2,0.7588,0.7329,0.7859
rtdetr_aug_lowlight,sard,water_glare,3,0.6268,0.5959,0.6567
rtdetr_aug_lowlight,sard,turbidity_cast,1,0.7158,0.687,0.7437
rtdetr_aug_lowlight,sard,turbidity_cast,2,0.3604,0.3269,0.3932
rtdetr_aug_lowlight,sard,turbidity_cast,3,0.071,0.0552,0.0866
rtdetr_aug_lowlight,sard,inundation,1,0.8121,0.7894,0.8355
rtdetr_aug_lowlight,sard,inundation,2,0.6739,0.6447,0.7013
rtdetr_aug_lowlight,sard,inundation,3,0.4342,0.4023,0.4677
rtdetr_aug_lowlight,sard,smoke_haze,1,0.7583,0.729,0.7845
rtdetr_aug_lowlight,sard,smoke_haze,2,0.5309,0.4973,0.5626
rtdetr_aug_lowlight,sard,smoke_haze,3,0.2303,0.2015,0.2591
rtdetr_aug_lowlight,sard,fire_warm_tint,1,0.6717,0.6409,0.7007
rtdetr_aug_lowlight,sard,fire_warm_tint,2,0.2697,0.2411,0.2981
rtdetr_aug_lowlight,sard,fire_warm_tint,3,0.0537,0.0414,0.0667
rtdetr_aug_lowlight,sard,rain_streaks,1,0.8541,0.8319,0.8756
rtdetr_aug_lowlight,sard,rain_streaks,2,0.8363,0.8131,0.859
rtdetr_aug_lowlight,sard,rain_streaks,3,0.7946,0.7677,0.821
rtdetr_aug_lowlight,sard,motion_blur,1,0.7405,0.7121,0.7677
rtdetr_aug_lowlight,sard,motion_blur,2,0.4874,0.4542,0.524
rtdetr_aug_lowlight,sard,motion_blur,3,0.3493,0.3183,0.3815
rtdetr_aug_lowlight,sard,low_light,1,0.7724,0.7454,0.7983
rtdetr_aug_lowlight,sard,low_light,2,0.528,0.4968,0.56
rtdetr_aug_lowlight,sard,low_light,3,0.0591,0.0456,0.0734
rtdetr_aug_lowlight,sard,dust_haze,1,0.609,0.5765,0.641
rtdetr_aug_lowlight,sard,dust_haze,2,0.2302,0.2015,0.2609
rtdetr_aug_lowlight,sard,dust_haze,3,0.0518,0.0385,0.0667
yolo11_aug_lowlight,sard,clean,0,0.884,0.8641,0.9053
yolo11_aug_lowlight,sard,water_glare,1,0.8534,0.83,0.8749
yolo11_aug_lowlight,sard,water_glare,2,0.7909,0.7661,0.8182
yolo11_aug_lowlight,sard,water_glare,3,0.6547,0.6278,0.6841
yolo11_aug_lowlight,sard,turbidity_cast,1,0.7831,0.7555,0.81
yolo11_aug_lowlight,sard,turbidity_cast,2,0.5373,0.505,0.5693
yolo11_aug_lowlight,sard,turbidity_cast,3,0.1255,0.1054,0.1461
yolo11_aug_lowlight,sard,inundation,1,0.8458,0.8234,0.8684
yolo11_aug_lowlight,sard,inundation,2,0.7418,0.7142,0.7695
yolo11_aug_lowlight,sard,inundation,3,0.4793,0.449,0.5105
yolo11_aug_lowlight,sard,smoke_haze,1,0.8306,0.8072,0.852
yolo11_aug_lowlight,sard,smoke_haze,2,0.7086,0.6779,0.7366
yolo11_aug_lowlight,sard,smoke_haze,3,0.395,0.3648,0.426
yolo11_aug_lowlight,sard,fire_warm_tint,1,0.6522,0.6223,0.6817
yolo11_aug_lowlight,sard,fire_warm_tint,2,0.2788,0.2472,0.3097
yolo11_aug_lowlight,sard,fire_warm_tint,3,0.0797,0.0627,0.0972
yolo11_aug_lowlight,sard,rain_streaks,1,0.8824,0.863,0.9025
yolo11_aug_lowlight,sard,rain_streaks,2,0.872,0.8517,0.8911
yolo11_aug_lowlight,sard,rain_streaks,3,0.833,0.8099,0.8553
yolo11_aug_lowlight,sard,motion_blur,1,0.7722,0.7465,0.7977
yolo11_aug_lowlight,sard,motion_blur,2,0.5674,0.5357,0.6002
yolo11_aug_lowlight,sard,motion_blur,3,0.4336,0.3982,0.4713
yolo11_aug_lowlight,sard,low_light,1,0.8068,0.7819,0.83
yolo11_aug_lowlight,sard,low_light,2,0.6472,0.6146,0.6776
yolo11_aug_lowlight,sard,low_light,3,0.1886,0.1677,0.2112
yolo11_aug_lowlight,sard,dust_haze,1,0.6212,0.5899,0.6488
yolo11_aug_lowlight,sard,dust_haze,2,0.2364,0.2088,0.2639
yolo11_aug_lowlight,sard,dust_haze,3,0.0433,0.0316,0.0569
