Model,Dataset,Condition,Recall_before,Recall_after,Delta,Recall_after_CI_lo,Recall_after_CI_hi
rtdetr,sard,motion_blur_s1,0.7812,0.7405,-0.0407,0.7121,0.7677
rtdetr,sard,motion_blur_s2,0.4883,0.4874,-0.0009,0.4542,0.524
rtdetr,sard,motion_blur_s3,0.3294,0.3493,0.0199,0.3183,0.3815
rtdetr,sard,low_light_s1,0.2599,0.7724,0.5125,0.7454,0.7983
rtdetr,sard,low_light_s2,0.0127,0.528,0.5153,0.4968,0.56
rtdetr,sard,low_light_s3,0.0,0.0591,0.0591,0.0456,0.0734
rtdetr,sard,dust_haze_s1,0.6658,0.609,-0.0569,0.5765,0.641
rtdetr,sard,dust_haze_s2,0.268,0.2302,-0.0378,0.2015,0.2609
rtdetr,sard,dust_haze_s3,0.0499,0.0518,0.0019,0.0385,0.0667
fasterrcnn,sard,clean,0.8789,0.8994,0.0205,0.8808,0.9176
fasterrcnn,sard,water_glare_s1,0.8422,0.862,0.0197,0.8408,0.8811
fasterrcnn,sard,water_glare_s2,0.7683,0.7896,0.0213,0.7635,0.8137
fasterrcnn,sard,water_glare_s3,0.6288,0.6499,0.0211,0.6223,0.6796
fasterrcnn,sard,turbidity_cast_s1,0.799,0.8424,0.0434,0.8192,0.8631
fasterrcnn,sard,turbidity_cast_s2,0.5385,0.6376,0.0991,0.6061,0.6664
fasterrcnn,sard,turbidity_cast_s3,0.1805,0.1952,0.0147,0.1703,0.2203
fasterrcnn,sard,inundation_s1,0.8463,0.8726,0.0262,0.8522,0.8914
fasterrcnn,sard,inundation_s2,0.7305,0.7859,0.0554,0.7596,0.8114
fasterrcnn,sard,inundation_s3,0.4884,0.5003,0.0119,0.4692,0.5313
fasterrcnn,sard,smoke_haze_s1,0.8112,0.8623,0.0511,0.8402,0.8832
fasterrcnn,sard,smoke_haze_s2,0.6255,0.7378,0.1124,0.7116,0.7673
fasterrcnn,sard,smoke_haze_s3,0.3024,0.3868,0.0844,0.3553,0.4186
fasterrcnn,sard,fire_warm_tint_s1,0.7977,0.8262,0.0285,0.8021,0.8493
fasterrcnn,sard,fire_warm_tint_s2,0.6037,0.6217,0.018,0.5907,0.6518
fasterrcnn,sard,fire_warm_tint_s3,0.4064,0.3819,-0.0244,0.3487,0.4149
fasterrcnn,sard,rain_streaks_s1,0.8711,0.8955,0.0243,0.8764,0.915
fasterrcnn,sard,rain_streaks_s2,0.8525,0.8829,0.0304,0.8625,0.9022
fasterrcnn,sard,rain_streaks_s3,0.7793,0.8256,0.0464,0.8011,0.8505
fasterrcnn,sard,motion_blur_s1,0.772,0.8103,0.0383,0.7874,0.8347
fasterrcnn,sard,motion_blur_s2,0.5677,0.6184,0.0507,0.5871,0.649
fasterrcnn,sard,motion_blur_s3,0.3977,0.4176,0.0198,0.381,0.4514
fasterrcnn,sard,low_light_s1,0.4187,0.8435,0.4248,0.8183,0.8655
fasterrcnn,sard,low_light_s2,0.0766,0.641,0.5644,0.6123,0.6691
fasterrcnn,sard,low_light_s3,0.0,0.1202,0.1202,0.1007,0.1404
fasterrcnn,sard,dust_haze_s1,0.7357,0.7841,0.0484,0.7585,0.8086
fasterrcnn,sard,dust_haze_s2,0.472,0.5132,0.0412,0.4797,0.5461
fasterrcnn,sard,dust_haze_s3,0.1601,0.1737,0.0135,0.1486,0.2005
